time (seconds),Sweep 0_Clamp Current (pA),Sweep 1_Clamp Current (pA),Sweep 2_Clamp Current (pA),Sweep 3_Clamp Current (pA),Sweep 4_Clamp Current (pA),Sweep 5_Clamp Current (pA),Sweep 6_Clamp Current (pA),Sweep 7_Clamp Current (pA),Sweep 8_Clamp Current (pA)
0.0204,8.544921875,7.32421875,10.3759765625,3.0517578125,7.32421875,5.4931640625,7.32421875,1.220703125,6.7138671875
0.0206,0.6103515625,7.32421875,4.8828125,6.7138671875,-0.6103515625,3.662109375,8.544921875,-1.220703125,7.9345703125
0.020800000000000003,4.2724609375,3.0517578125,7.32421875,10.3759765625,2.44140625,7.9345703125,7.9345703125,-0.6103515625,5.4931640625
0.021,9.1552734375,0.0,6.7138671875,9.1552734375,6.7138671875,1.8310546875,3.0517578125,-1.8310546875,0.6103515625
0.0212,5.4931640625,3.662109375,6.7138671875,5.4931640625,-0.6103515625,0.0,-0.6103515625,-1.220703125,-0.6103515625
0.021400000000000002,-1.220703125,4.8828125,3.662109375,2.44140625,1.220703125,4.8828125,-1.220703125,0.0,1.8310546875
0.0216,6.7138671875,1.8310546875,-0.6103515625,1.220703125,7.9345703125,9.765625,-1.220703125,0.0,6.103515625
0.0218,-0.6103515625,2.44140625,1.220703125,0.6103515625,5.4931640625,1.220703125,-0.6103515625,1.8310546875,7.32421875
0.022000000000000002,9.1552734375,7.32421875,8.544921875,1.220703125,1.220703125,9.765625,7.32421875,6.7138671875,7.9345703125
0.0222,1.220703125,4.2724609375,5.4931640625,1.8310546875,1.8310546875,0.0,0.6103515625,9.765625,7.9345703125
0.0224,4.2724609375,2.44140625,-1.8310546875,0.6103515625,5.4931640625,3.0517578125,0.6103515625,6.7138671875,7.9345703125
0.022600000000000002,6.103515625,3.0517578125,3.0517578125,0.0,9.1552734375,5.4931640625,7.32421875,4.2724609375,6.7138671875
0.0228,0.6103515625,9.1552734375,7.32421875,-0.6103515625,9.765625,-0.6103515625,7.32421875,0.6103515625,7.9345703125
0.023,1.8310546875,2.44140625,1.220703125,0.6103515625,7.9345703125,1.8310546875,1.8310546875,0.6103515625,6.103515625
0.023200000000000002,7.9345703125,8.544921875,0.0,0.6103515625,3.662109375,7.9345703125,4.2724609375,3.662109375,3.0517578125
0.0234,4.8828125,1.220703125,4.2724609375,4.2724609375,1.220703125,6.7138671875,4.8828125,5.4931640625,1.8310546875
0.0236,0.0,7.32421875,3.0517578125,7.32421875,0.0,2.44140625,6.103515625,1.220703125,-1.8310546875
0.0238,0.0,2.44140625,3.0517578125,9.765625,0.6103515625,0.6103515625,3.0517578125,0.0,-0.6103515625
0.024,7.32421875,-0.6103515625,-1.220703125,7.32421875,0.0,3.0517578125,10.3759765625,4.8828125,6.7138671875
0.024200000000000003,7.9345703125,6.103515625,4.2724609375,1.8310546875,1.220703125,5.4931640625,3.662109375,9.1552734375,7.9345703125
0.0244,1.220703125,6.7138671875,6.7138671875,-0.6103515625,-0.6103515625,9.1552734375,1.8310546875,4.2724609375,9.765625
0.0246,-2.44140625,-0.6103515625,0.0,3.0517578125,-0.6103515625,5.4931640625,6.7138671875,3.0517578125,6.103515625
0.024800000000000003,3.0517578125,0.6103515625,7.9345703125,7.32421875,4.2724609375,3.0517578125,6.103515625,7.9345703125,1.8310546875
0.025,4.2724609375,4.2724609375,0.0,7.9345703125,1.220703125,-0.6103515625,1.8310546875,3.0517578125,7.9345703125
0.0252,7.9345703125,7.32421875,4.8828125,6.103515625,5.4931640625,0.0,-1.8310546875,6.103515625,8.544921875
0.025400000000000002,10.3759765625,4.2724609375,4.8828125,1.8310546875,4.8828125,0.0,2.44140625,9.1552734375,3.0517578125
0.0256,8.544921875,1.220703125,-1.220703125,7.9345703125,9.765625,-0.6103515625,7.32421875,0.6103515625,0.6103515625
0.0258,4.8828125,-1.8310546875,2.44140625,6.103515625,5.4931640625,-1.8310546875,6.7138671875,4.8828125,7.32421875
0.026000000000000002,3.662109375,1.8310546875,7.32421875,2.44140625,1.8310546875,-0.6103515625,4.2724609375,8.544921875,0.6103515625
0.0262,3.0517578125,4.2724609375,3.0517578125,2.44140625,-0.6103515625,1.220703125,0.6103515625,1.220703125,4.8828125
0.0264,3.0517578125,6.7138671875,-0.6103515625,10.3759765625,0.6103515625,1.220703125,1.220703125,1.8310546875,0.6103515625
0.026600000000000002,2.44140625,9.1552734375,-0.6103515625,0.0,6.7138671875,0.6103515625,0.0,4.8828125,8.544921875
0.0268,6.103515625,5.4931640625,5.4931640625,7.32421875,7.32421875,-0.6103515625,2.44140625,7.32421875,0.6103515625
0.027,8.544921875,4.2724609375,9.765625,0.0,4.8828125,1.220703125,3.0517578125,5.4931640625,3.0517578125
0.027200000000000002,7.9345703125,3.0517578125,9.1552734375,7.9345703125,-0.6103515625,5.4931640625,3.0517578125,1.220703125,7.9345703125
0.0274,7.32421875,3.0517578125,4.8828125,1.8310546875,7.9345703125,8.544921875,5.4931640625,0.6103515625,3.0517578125
0.027600000000000003,6.103515625,2.44140625,1.220703125,-1.8310546875,6.103515625,7.32421875,1.220703125,0.0,0.6103515625
0.027800000000000002,1.220703125,1.220703125,0.6103515625,5.4931640625,1.8310546875,3.662109375,3.662109375,4.2724609375,5.4931640625
0.028,0.0,1.8310546875,2.44140625,6.103515625,1.8310546875,1.220703125,0.6103515625,6.103515625,9.765625
0.028200000000000003,0.6103515625,1.8310546875,3.0517578125,0.0,7.9345703125,2.44140625,1.220703125,7.9345703125,7.32421875
0.0284,1.220703125,4.2724609375,6.103515625,1.220703125,1.8310546875,5.4931640625,1.8310546875,7.32421875,3.0517578125
0.0286,2.44140625,6.7138671875,6.103515625,6.7138671875,5.4931640625,1.220703125,1.220703125,8.544921875,0.6103515625
0.028800000000000003,5.4931640625,9.1552734375,9.765625,9.765625,0.6103515625,2.44140625,-0.6103515625,9.765625,-0.6103515625
0.029,4.2724609375,7.9345703125,6.7138671875,6.7138671875,7.32421875,3.662109375,4.2724609375,9.1552734375,3.0517578125
0.0292,1.8310546875,2.44140625,7.32421875,0.6103515625,0.6103515625,5.4931640625,7.9345703125,9.1552734375,4.2724609375
0.029400000000000003,1.8310546875,0.0,6.7138671875,0.0,6.103515625,2.44140625,7.9345703125,7.9345703125,5.4931640625
0.0296,10.3759765625,-0.6103515625,6.103515625,2.44140625,7.32421875,-0.6103515625,3.0517578125,9.1552734375,7.9345703125
0.0298,3.0517578125,-1.220703125,3.0517578125,6.103515625,0.0,5.4931640625,-0.6103515625,7.32421875,7.9345703125
0.030000000000000002,4.8828125,4.8828125,-0.6103515625,7.9345703125,1.8310546875,6.7138671875,-0.6103515625,4.8828125,10.3759765625
0.0302,1.8310546875,7.32421875,2.44140625,7.9345703125,6.103515625,0.0,5.4931640625,1.220703125,9.765625
