time (seconds),Sweep 0_Membrane Potential (mV),Sweep 1_Membrane Potential (mV),Sweep 2_Membrane Potential (mV),Sweep 3_Membrane Potential (mV),Sweep 4_Membrane Potential (mV),Sweep 5_Membrane Potential (mV),Sweep 6_Membrane Potential (mV),Sweep 7_Membrane Potential (mV),Sweep 8_Membrane Potential (mV)
0.0126,-63.29345703125,-62.896728515625,-63.507080078125,-63.446044921875,-63.201904296875,-63.4765625,-63.17138671875,-62.68310546875,-62.957763671875
0.0128,-63.3544921875,-63.018798828125,-63.690185546875,-63.385009765625,-63.629150390625,-63.53759765625,-63.232421875,-62.591552734375,-63.140869140625
0.013000000000000001,-63.262939453125,-63.04931640625,-63.629150390625,-63.4765625,-63.385009765625,-63.41552734375,-62.957763671875,-62.713623046875,-63.079833984375
0.0132,-63.04931640625,-62.957763671875,-63.629150390625,-63.65966796875,-63.232421875,-63.3544921875,-62.957763671875,-62.896728515625,-62.92724609375
0.0134,-63.568115234375,-62.56103515625,-63.720703125,-63.78173828125,-63.507080078125,-63.720703125,-63.079833984375,-62.8662109375,-63.17138671875
0.013600000000000001,-63.018798828125,-62.98828125,-63.934326171875,-63.8427734375,-63.5986328125,-63.262939453125,-63.262939453125,-62.92724609375,-63.1103515625
0.013800000000000002,-63.29345703125,-62.530517578125,-64.14794921875,-63.720703125,-63.29345703125,-63.690185546875,-62.896728515625,-63.04931640625,-63.1103515625
0.014,-63.17138671875,-62.713623046875,-63.873291015625,-63.568115234375,-63.1103515625,-63.385009765625,-63.1103515625,-63.04931640625,-63.079833984375
0.0142,-62.713623046875,-62.8662109375,-63.53759765625,-63.385009765625,-63.140869140625,-63.41552734375,-63.323974609375,-62.744140625,-63.323974609375
0.014400000000000001,-63.17138671875,-62.98828125,-63.385009765625,-63.385009765625,-63.323974609375,-63.629150390625,-63.29345703125,-62.652587890625,-63.262939453125
0.0146,-63.3544921875,-62.5,-63.446044921875,-63.65966796875,-63.3544921875,-63.3544921875,-62.98828125,-62.469482421875,-63.232421875
0.0148,-63.079833984375,-62.8662109375,-63.5986328125,-63.4765625,-63.232421875,-63.201904296875,-63.3544921875,-62.56103515625,-63.04931640625
0.015000000000000001,-63.079833984375,-62.5,-63.53759765625,-63.385009765625,-63.140869140625,-63.4765625,-63.1103515625,-62.896728515625,-62.8662109375
0.0152,-63.232421875,-62.92724609375,-63.90380859375,-63.507080078125,-63.262939453125,-63.507080078125,-63.3544921875,-62.469482421875,-62.68310546875
0.0154,-63.385009765625,-62.530517578125,-63.385009765625,-63.568115234375,-63.232421875,-63.507080078125,-62.957763671875,-62.92724609375,-62.92724609375
0.015600000000000001,-63.446044921875,-62.713623046875,-63.751220703125,-63.8427734375,-63.53759765625,-63.323974609375,-63.29345703125,-62.68310546875,-63.1103515625
0.0158,-62.957763671875,-62.92724609375,-63.8427734375,-63.4765625,-63.507080078125,-63.4765625,-63.1103515625,-62.591552734375,-62.98828125
0.016,-62.92724609375,-62.591552734375,-63.720703125,-63.4765625,-63.751220703125,-63.5986328125,-62.98828125,-62.56103515625,-62.896728515625
